modelo,metrica,aleatoria,espacial,diferencia_espacial_menos_aleatoria
logistic_regression,f1,0.485430252328538,0.48749026187834527,0.0020600095498072846
logistic_regression,precision,0.32448761449699,0.3351494121759275,0.01066179767893749
logistic_regression,recall,0.9736557860326457,0.9702002475848733,-0.003455538447772355
logistic_regression,roc_auc,0.9923067455042857,0.9924600090263388,0.00015326352205313754
random_forest,f1,0.8904092698576717,0.8686611106975342,-0.021748159160137503
random_forest,precision,0.8714530875834559,0.8581330089230841,-0.01332007866037177
random_forest,recall,0.910239104607574,0.8802307210635923,-0.03000838354398161
random_forest,roc_auc,0.9965527407547011,0.9952688841538816,-0.001283856600819533
xgboost,f1,0.8515249407760306,0.8260424572275923,-0.025482483548438295
xgboost,precision,0.776700335020853,0.7514162754870083,-0.025284059533844716
xgboost,recall,0.9424225737182326,0.9222290714182526,-0.02019350229997996
xgboost,roc_auc,0.9990588389549458,0.9984698700945656,-0.0005889688603802901
