lago,fecha,n_observaciones,n_positivos,tasa_positivos
Amatitlan,2025-01-28,5766,9,0.156
Amatitlan,2025-04-15,5803,62,1.068
Amatitlan,2025-04-28,5799,460,7.932
Amatitlan,2025-11-24,5786,129,2.23
Amatitlan,2026-01-08,5825,425,7.296
Amatitlan,2026-02-02,5793,3,0.052
Amatitlan,2026-02-07,5807,6,0.103
Amatitlan,2026-03-29,5847,463,7.919
Amatitlan,2026-04-13,5910,305,5.161
Amatitlan,2026-04-28,5640,2025,35.904
Amatitlan,2026-06-19,5867,3155,53.775
Atitlan,2025-01-18,49797,37,0.074
Atitlan,2025-04-13,49077,6,0.012
Atitlan,2025-05-13,49054,6,0.012
Atitlan,2025-07-17,46830,59,0.126
Atitlan,2025-11-21,49178,40,0.081
Atitlan,2025-12-29,49849,35,0.07
Atitlan,2026-02-12,49253,26,0.053
Atitlan,2026-03-24,49109,8,0.016
Atitlan,2026-04-13,48918,17,0.035
Atitlan,2026-04-28,48991,7,0.014
Atitlan,2026-07-22,48845,81,0.166
