escenario,modelo,n_train,n_test,positivos_train_pct,positivos_test_pct,accuracy,precision,recall,f1,roc_auc
A_train_Atitlan_test_Amatitlan,logistic_regression,538901,63843,0.0598,11.0302,0.3054054477389847,0.1366000974184121,0.9955978415222948,0.24023849092809293,0.926600098558813
A_train_Atitlan_test_Amatitlan,random_forest,538901,63843,0.0598,11.0302,0.8891656093855239,0.13043478260869565,0.0008520306731042318,0.001693002257336343,0.6813098801952462
A_train_Atitlan_test_Amatitlan,xgboost,538901,63843,0.0598,11.0302,0.8972322729195057,0.6941081517352704,0.12212439647827322,0.20770438352855936,0.7514634869208419
B_train_Amatitlan_test_Atitlan,logistic_regression,63843,538901,11.0302,0.0598,0.9925329513213001,0.05654048873981792,0.7329192546583851,0.10498220640569395,0.8681143786019201
B_train_Amatitlan_test_Atitlan,random_forest,63843,538901,11.0302,0.0598,0.9993449631750544,0.30864197530864196,0.07763975155279502,0.12406947890818859,0.8563445088922115
B_train_Amatitlan_test_Atitlan,xgboost,63843,538901,11.0302,0.0598,0.999116720881943,0.2210144927536232,0.18944099378881987,0.2040133779264214,0.9029189550431762
mismo_lago_Atitlan,logistic_regression,377230,161671,0.0596,0.06,0.9885075245405793,0.04730077120822622,0.9484536082474226,0.0901077375122429,0.9930544097186199
mismo_lago_Atitlan,random_forest,377230,161671,0.0596,0.06,0.9994000160820432,0.5,0.4536082474226804,0.4756756756756757,0.9630189237601895
mismo_lago_Atitlan,xgboost,377230,161671,0.0596,0.06,0.9990412628115123,0.31645569620253167,0.5154639175257731,0.39215686274509803,0.9935630337074494
mismo_lago_Amatitlan,logistic_regression,44690,19153,11.0293,11.0322,0.9449694564820132,0.6779831932773109,0.9545669663984856,0.7928459119496856,0.9814314582875071
mismo_lago_Amatitlan,random_forest,44690,19153,11.0293,11.0322,0.979272176682504,0.8885869565217391,0.9285376242309512,0.9081231196482296,0.99505773003695
mismo_lago_Amatitlan,xgboost,44690,19153,11.0293,11.0322,0.9793243878243617,0.8848050201703272,0.9342167534311405,0.9088397790055248,0.9959260691138471
