lago,bloque_id,n_observaciones
Amatitlan,Amatitlan_754_1596,1
Amatitlan,Amatitlan_757_1601,59
Amatitlan,Amatitlan_757_1602,970
Amatitlan,Amatitlan_757_1603,755
Amatitlan,Amatitlan_758_1601,1495
Amatitlan,Amatitlan_758_1602,3818
Amatitlan,Amatitlan_758_1603,220
Amatitlan,Amatitlan_759_1594,425
Amatitlan,Amatitlan_759_1595,4
Amatitlan,Amatitlan_759_1600,21
Amatitlan,Amatitlan_759_1601,1515
Amatitlan,Amatitlan_759_1602,2792
Amatitlan,Amatitlan_760_1594,29
Amatitlan,Amatitlan_760_1595,3
Amatitlan,Amatitlan_760_1596,1
Amatitlan,Amatitlan_760_1600,2787
Amatitlan,Amatitlan_760_1601,4317
Amatitlan,Amatitlan_760_1602,1953
Amatitlan,Amatitlan_761_1599,1048
Amatitlan,Amatitlan_761_1600,3595
Amatitlan,Amatitlan_761_1601,2280
Amatitlan,Amatitlan_761_1602,2152
Amatitlan,Amatitlan_761_1603,285
Amatitlan,Amatitlan_762_1598,1172
Amatitlan,Amatitlan_762_1599,1676
Amatitlan,Amatitlan_762_1600,1041
Amatitlan,Amatitlan_762_1601,87
Amatitlan,Amatitlan_762_1602,186
Amatitlan,Amatitlan_763_1596,740
Amatitlan,Amatitlan_763_1597,3004
Amatitlan,Amatitlan_763_1598,3953
Amatitlan,Amatitlan_763_1599,278
Amatitlan,Amatitlan_764_1595,276
Amatitlan,Amatitlan_764_1596,4046
Amatitlan,Amatitlan_764_1597,4400
Amatitlan,Amatitlan_764_1598,2187
Amatitlan,Amatitlan_764_1601,21
Amatitlan,Amatitlan_765_1595,724
Amatitlan,Amatitlan_765_1596,3283
Amatitlan,Amatitlan_765_1597,2940
Amatitlan,Amatitlan_765_1598,2676
Amatitlan,Amatitlan_765_1600,5
Amatitlan,Amatitlan_765_1601,1
Amatitlan,Amatitlan_765_1602,2
Amatitlan,Amatitlan_766_1595,2
Amatitlan,Amatitlan_766_1597,2
Amatitlan,Amatitlan_766_1598,612
Amatitlan,Amatitlan_766_1602,1
Amatitlan,Amatitlan_766_1603,1
Amatitlan,Amatitlan_767_1598,2
Atitlan,Atitlan_680_1614,68
Atitlan,Atitlan_680_1615,12
Atitlan,Atitlan_680_1616,10
Atitlan,Atitlan_680_1617,21
Atitlan,Atitlan_680_1620,1
Atitlan,Atitlan_681_1614,14
Atitlan,Atitlan_681_1615,31
Atitlan,Atitlan_681_1616,6
Atitlan,Atitlan_681_1617,64
Atitlan,Atitlan_681_1618,68
Atitlan,Atitlan_681_1619,1
Atitlan,Atitlan_681_1621,3
Atitlan,Atitlan_681_1630,13
Atitlan,Atitlan_681_1631,1
Atitlan,Atitlan_682_1614,24
Atitlan,Atitlan_682_1615,6
Atitlan,Atitlan_682_1617,6
Atitlan,Atitlan_682_1618,83
Atitlan,Atitlan_682_1619,5
Atitlan,Atitlan_682_1624,6
Atitlan,Atitlan_682_1630,2
Atitlan,Atitlan_682_1631,4
Atitlan,Atitlan_683_1614,29
Atitlan,Atitlan_683_1615,1
Atitlan,Atitlan_683_1618,24
Atitlan,Atitlan_683_1621,1
Atitlan,Atitlan_683_1622,24
Atitlan,Atitlan_683_1630,5
Atitlan,Atitlan_684_1614,19
Atitlan,Atitlan_684_1615,9
Atitlan,Atitlan_684_1616,10
