lago,fecha,n_observaciones
Amatitlan,2025-01-28,5766
Amatitlan,2025-04-15,5803
Amatitlan,2025-04-28,5799
Amatitlan,2025-11-24,5786
Amatitlan,2026-01-08,5825
Amatitlan,2026-02-02,5793
Amatitlan,2026-02-07,5807
Amatitlan,2026-03-29,5847
Amatitlan,2026-04-13,5910
Amatitlan,2026-04-28,5640
Amatitlan,2026-06-19,5867
Atitlan,2025-01-18,49797
Atitlan,2025-04-13,49077
Atitlan,2025-05-13,49054
Atitlan,2025-07-17,46830
Atitlan,2025-11-21,49178
Atitlan,2025-12-29,49849
Atitlan,2026-02-12,49253
Atitlan,2026-03-24,49109
Atitlan,2026-04-13,48918
Atitlan,2026-04-28,48991
Atitlan,2026-07-22,48845
