lago,fecha,promedio,mediana,p90,maximo,pixeles_validos,porcentaje_pixeles_validos
Atitlan,2025-01-18,0.3868970274925232,0.43181297183036804,1.7191426753997803,30.662933349609375,311437,26.075311355311353
Atitlan,2025-04-13,1.783337950706482,1.7752903699874878,2.6317381858825684,23.673519134521484,307664,25.75941391941392
Atitlan,2025-05-13,1.2936269044876099,1.308051586151123,2.6022350788116455,13.703752517700195,307638,25.757237048665623
Atitlan,2025-07-17,1.0868524312973022,1.206728458404541,2.6284050941467285,84.1328125,293825,24.6007326007326
Atitlan,2025-11-21,0.2716751992702484,0.32762354612350464,1.6689801216125488,27.198829650878906,308754,25.850675039246468
Atitlan,2025-12-29,0.5435084104537964,0.534273624420166,1.7587698698043823,26.949405670166016,311651,26.09322867608582
Atitlan,2026-02-12,0.9165403246879578,0.9299899935722351,1.9578218460083008,21.310285568237305,308458,25.82589220303506
Atitlan,2026-03-24,1.2651007175445557,1.2789466381072998,2.1947011947631836,13.537391662597656,307777,25.76887493458922
Atitlan,2026-04-13,2.1286091804504395,2.2240817546844482,3.2539215087890625,15.917075157165527,306970,25.701308215593933
Atitlan,2026-04-28,1.8564884662628174,1.8960732221603394,2.9091007709503174,10.826419830322266,306943,25.699047619047622
Atitlan,2026-07-22,1.144205927848816,1.1528749465942383,2.6708319187164307,23.25518798828125,306397,25.653333333333332
Amatitlan,2025-01-28,4.428946495056152,4.491105556488037,4.75006103515625,21.60055923461914,36896,12.023724173890374
Amatitlan,2025-04-15,4.5285444259643555,4.584526062011719,5.906035423278809,21.94310760498047,36473,11.885876295379
Amatitlan,2025-04-28,5.746625900268555,4.8780035972595215,9.001626014709473,34.34856414794922,36474,11.886202176888483
Amatitlan,2025-11-24,4.675342559814453,4.038565158843994,5.140887260437012,115.43405151367188,36740,11.972886658411001
Amatitlan,2026-01-08,6.688481330871582,4.892782688140869,7.892995357513428,131.24395751953125,36928,12.034152382193835
Amatitlan,2026-02-02,4.287637233734131,4.394196033477783,4.702783107757568,14.016261100769043,36209,11.799843576875448
Amatitlan,2026-02-07,4.302522659301758,4.453448295593262,4.737756252288818,15.427299499511719,36792,11.989832496904125
Amatitlan,2026-03-29,6.43125581741333,5.241988658905029,8.174210548400879,49.3872184753418,36895,12.023398292380891
Amatitlan,2026-04-13,6.738170146942139,6.3933000564575195,8.635921478271484,28.1586971282959,37052,12.074561689369744
Amatitlan,2026-04-28,9.910918235778809,6.430047988891602,21.345563888549805,46.144222259521484,35140,11.451476243237959
Amatitlan,2026-06-19,11.4730224609375,10.680395126342773,18.30816650390625,92.23839569091797,36927,12.03382650068435
